Date,Price,Open,High,Low,Vol.,Change %,Chg. %,Unnamed: 7
07/03/2024,135.0,135.0,135.0,135.0,0.11K,2.08%,,
07/04/2024,136.5,136.5,136.5,136.5,,1.11%,,
07/05/2024,135.75,135.75,135.75,135.75,0.01K,-0.55%,,
07/08/2024,135.05,135.0,135.0,135.0,0.00K,-0.52%,,
07/09/2024,135.25,135.25,135.25,135.25,0.04K,0.15%,,
07/10/2024,133.75,133.75,133.75,133.75,,-1.11%,,
07/11/2024,133.75,133.75,133.75,133.75,,0.00%,,
07/12/2024,133.85,133.0,134.0,133.0,0.01K,0.07%,,
07/15/2024,134.95,134.85,134.85,134.85,0.03K,0.82%,,
07/16/2024,134.4,134.4,134.4,134.4,,-0.41%,,
07/17/2024,134.75,134.75,134.75,134.75,0.02K,0.26%,,
07/18/2024,135.0,135.0,135.0,135.0,,0.19%,,
07/19/2024,135.1,135.1,135.1,135.1,,0.07%,,
07/22/2024,135.0,135.0,135.0,135.0,0.01K,-0.07%,,
07/23/2024,134.7,134.7,134.7,134.7,,-0.22%,,
07/24/2024,134.75,134.75,134.75,134.75,,0.04%,,
07/25/2024,134.75,134.75,134.75,134.75,,0.00%,,
07/26/2024,134.8,134.8,134.8,134.8,,0.04%,,
07/29/2024,140.1,140.1,140.1,140.1,0.01K,3.93%,,
07/30/2024,139.25,139.25,139.25,139.25,0.03K,-0.61%,,
07/31/2024,140.1,139.5,140.5,139.5,0.02K,0.61%,,
08/01/2024,142.55,141.0,144.0,141.0,0.01K,1.75%,,
08/02/2024,144.1,144.1,144.1,144.1,,1.09%,,
08/05/2024,143.7,143.7,143.7,143.7,0.03K,-0.28%,,
08/06/2024,145.5,145.5,145.5,145.5,0.02K,1.25%,,
08/07/2024,145.0,145.0,145.0,145.0,,-0.34%,,
08/08/2024,145.5,145.5,145.5,145.5,,0.34%,,
08/09/2024,146.0,146.0,146.0,146.0,,0.34%,,
08/12/2024,146.75,146.75,146.75,146.75,,0.51%,,
08/13/2024,146.9,146.9,146.9,146.9,,0.10%,,
08/14/2024,145.75,145.75,145.75,145.75,,-0.78%,,
08/15/2024,150.0,150.0,150.0,150.0,0.01K,2.92%,,
08/16/2024,146.75,146.75,146.75,146.75,,-2.17%,,
08/19/2024,146.5,146.5,146.5,146.5,,-0.17%,,
08/20/2024,146.0,148.25,148.25,148.25,0.01K,-0.34%,,
08/21/2024,145.9,145.9,145.9,145.9,,-0.07%,,
08/22/2024,146.75,146.75,146.75,146.75,,0.58%,,
08/23/2024,145.2,145.2,145.2,145.2,,-1.06%,,
08/26/2024,145.7,145.7,145.7,145.7,,0.34%,,
08/27/2024,146.0,146.0,146.0,146.0,,0.21%,,
08/28/2024,145.0,145.0,145.0,145.0,,-0.68%,,
08/29/2024,145.0,145.0,145.0,145.0,,0.00%,,
08/30/2024,146.2,146.2,146.2,146.2,,0.83%,,
09/02/2024,143.9,143.9,143.9,143.9,,-1.57%,,
09/03/2024,142.0,142.0,142.0,142.0,0.05K,-1.32%,,
09/04/2024,139.5,139.5,139.5,139.5,0.03K,-1.76%,,
09/05/2024,141.0,141.0,141.0,141.0,0.01K,1.08%,,
09/06/2024,141.5,141.35,141.35,141.35,0.00K,0.35%,,
09/09/2024,141.65,141.65,141.65,141.65,,0.11%,,
09/10/2024,138.75,139.5,139.5,139.5,0.02K,-2.05%,,
09/11/2024,139.0,139.0,139.0,139.0,,0.18%,,
09/12/2024,138.15,138.15,138.15,138.15,0.00K,-0.61%,,
09/13/2024,137.9,137.9,137.9,137.9,,-0.18%,,
09/16/2024,137.25,137.25,137.25,137.25,,-0.47%,,
09/17/2024,139.65,139.0,139.0,139.0,0.00K,1.75%,,
09/18/2024,139.0,139.0,139.0,139.0,,-0.47%,,
09/19/2024,139.5,140.0,140.0,140.0,0.01K,0.36%,,
09/20/2024,139.5,139.5,139.5,139.5,,0.00%,,
09/23/2024,139.5,139.5,139.5,139.5,,0.00%,,
09/24/2024,139.5,139.5,139.5,139.5,0.00K,0.00%,,
09/25/2024,139.75,139.75,139.75,139.75,,0.18%,,
09/26/2024,139.6,139.6,139.6,139.6,,-0.11%,,
09/27/2024,139.75,139.75,139.75,139.75,,0.11%,,
09/30/2024,145.1,149.0,149.0,145.0,0.01K,3.83%,,
10/01/2024,141.65,142.75,142.75,142.75,0.01K,-2.38%,,
10/02/2024,140.25,142.1,142.1,142.1,0.03K,-0.99%,,
10/03/2024,140.8,140.8,140.8,140.8,0.01K,0.39%,,
10/04/2024,148.2,148.2,148.2,148.2,0.12K,5.26%,,
10/07/2024,148.5,148.5,148.5,148.5,0.02K,0.20%,,
10/08/2024,147.8,147.8,147.8,147.8,0.01K,-0.47%,,
10/09/2024,145.45,145.45,145.45,145.45,0.06K,-1.59%,,
10/10/2024,148.0,147.0,148.5,147.0,0.02K,1.75%,,
10/11/2024,146.7,148.05,148.05,148.05,0.00K,-0.88%,,
10/14/2024,148.2,148.2,148.2,148.2,0.01K,1.02%,,
10/15/2024,146.05,146.05,146.05,146.05,0.01K,-1.45%,,
10/16/2024,145.95,145.95,145.95,145.95,0.00K,-0.07%,,
10/17/2024,145.75,145.75,145.75,145.75,0.00K,-0.14%,,
10/18/2024,145.4,145.4,145.4,145.4,,-0.24%,,
10/21/2024,145.6,145.6,145.6,145.6,,0.14%,,
10/22/2024,144.7,144.7,144.7,144.7,,-0.62%,,
10/23/2024,145.25,145.25,145.25,145.25,,0.38%,,
10/24/2024,145.5,145.5,145.5,145.5,,0.17%,,
10/25/2024,144.9,144.9,144.9,144.9,,-0.41%,,
10/28/2024,144.5,143.75,143.75,143.75,0.02K,-0.28%,,
10/29/2024,145.25,145.25,145.25,145.25,0.03K,0.52%,,
10/30/2024,145.0,144.0,144.05,144.0,0.18K,-0.17%,,
10/31/2024,144.05,144.05,144.05,144.05,,-0.66%,,
11/01/2024,143.95,144.15,144.15,144.15,0.01K,-0.07%,,
11/04/2024,143.9,143.9,143.9,143.9,,-0.03%,,
11/05/2024,142.9,142.9,142.9,142.9,,-0.69%,,
11/06/2024,141.1,141.1,141.1,141.1,,-1.26%,,
11/07/2024,142.2,142.2,142.2,142.2,,0.78%,,
11/08/2024,143.35,143.35,143.35,143.35,,0.81%,,
11/11/2024,142.25,142.25,142.25,142.25,,-0.77%,,
11/12/2024,142.25,142.25,142.25,142.25,,0.00%,,
11/13/2024,141.5,141.5,141.5,141.5,,-0.53%,,
11/14/2024,141.5,141.5,141.5,141.5,,0.00%,,
11/15/2024,141.75,141.75,141.75,141.75,,0.18%,,
11/18/2024,141.75,141.75,141.75,141.75,,0.00%,,
11/19/2024,141.25,141.25,141.25,141.25,,-0.35%,,
11/20/2024,141.5,141.5,141.5,141.5,,0.18%,,
11/21/2024,141.5,141.5,141.5,141.5,,0.00%,,
11/22/2024,141.25,141.25,141.25,141.25,,-0.18%,,
11/25/2024,141.0,141.0,141.0,141.0,,-0.18%,,
11/26/2024,141.0,141.0,141.0,141.0,,0.00%,,
