driver,ticker,event_date,driver_change_pct,buy_date,sell_date,buy_price,sell_price,capital,shares,return_pct,profit_rp,ending_value
GOLD,PSAB.JK,2010-06-07,5.41,2010-06-07,2010-06-21,12.857142448425293,12.857142448425293,1000000,77777.78,-0.0,-0.0,1000000.0
GOLD,PSAB.JK,2010-10-05,5.23,2010-10-05,2010-10-19,12.857142448425293,12.857142448425293,1000000,77777.78,-0.0,-0.0,1000000.0
GOLD,PSAB.JK,2010-11-05,5.5,2010-11-05,2010-11-22,12.857142448425293,12.857142448425293,1000000,77777.78,-0.0,-0.0,1000000.0
GOLD,PSAB.JK,2011-04-28,5.22,2011-04-28,2011-05-12,12.857142448425293,12.857142448425293,1000000,77777.78,-0.0,-0.0,1000000.0
GOLD,PSAB.JK,2011-07-13,5.7,2011-07-13,2011-07-27,12.857142448425293,12.857142448425293,1000000,77777.78,-0.0,-0.0,1000000.0
GOLD,PSAB.JK,2011-11-02,5.02,2011-11-02,2011-11-16,12.857142448425293,12.857142448425293,1000000,77777.78,-0.0,-0.0,1000000.0
GOLD,PSAB.JK,2012-01-12,5.4,2012-01-12,2012-01-27,12.857142448425293,12.857142448425293,1000000,77777.78,-0.0,-0.0,1000000.0
GOLD,PSAB.JK,2012-09-13,6.59,2012-09-13,2012-09-27,117.85713958740234,118.57142639160156,1000000,8484.85,0.61,6061.0,1006061.0
GOLD,PSAB.JK,2013-04-29,7.85,2013-04-29,2013-05-14,116.42857360839844,110.0,1000000,8588.96,-5.52,-55215.0,944785.0
GOLD,PSAB.JK,2013-07-12,5.48,2013-07-12,2013-07-26,86.42857360839844,75.71428680419922,1000000,11570.25,-12.4,-123967.0,876033.0
GOLD,PSAB.JK,2013-08-20,7.01,2013-08-20,2013-09-03,78.57142639160156,76.42857360839844,1000000,12727.27,-2.73,-27273.0,972727.0
GOLD,PSAB.JK,2013-10-25,6.66,2013-10-25,2013-11-11,67.85713958740234,68.57142639160156,1000000,14736.84,1.05,10526.0,1010526.0
GOLD,PSAB.JK,2014-02-14,6.36,2014-02-14,2014-02-28,99.28571319580078,85.28571319580078,1000000,10071.94,-14.1,-141007.0,858993.0
GOLD,PSAB.JK,2014-06-20,5.12,2014-06-20,2014-07-04,119.28571319580078,132.14285278320312,1000000,8383.23,10.78,107784.0,1107784.0
GOLD,PSAB.JK,2015-01-15,6.82,2015-01-15,2015-01-29,109.0,117.0,1000000,9174.31,7.34,73394.0,1073394.0
GOLD,PSAB.JK,2015-08-20,5.76,2015-08-20,2015-09-03,125.0,130.0,1000000,8000.0,4.0,40000.0,1040000.0
GOLD,PSAB.JK,2015-10-14,5.79,2015-10-15,2015-10-29,291.0,300.0,1000000,3436.43,3.09,30928.0,1030928.0
GOLD,PSAB.JK,2016-02-04,5.32,2016-02-04,2016-02-19,191.0,212.0,1000000,5235.6,10.99,109948.0,1109948.0
GOLD,PSAB.JK,2016-05-06,5.23,2016-05-09,2016-05-23,229.0,222.0,1000000,4366.81,-3.06,-30568.0,969432.0
GOLD,PSAB.JK,2016-06-13,5.82,2016-06-13,2016-06-27,299.0,370.0,1000000,3344.48,23.75,237458.0,1237458.0
GOLD,PSAB.JK,2017-01-11,5.13,2017-01-11,2017-01-25,244.0,252.0,1000000,4098.36,3.28,32787.0,1032787.0
