driver,ticker,lookback,threshold,holding,events,winrate,avg_return,compound,profit_factor,mdd,expectancy,ranking
GOLD,PSAB.JK,5,0.5,2,7,42.86,0.14,-0.6,1.05,12.55,0.14,230
GOLD,PSAB.JK,5,1.0,2,7,42.86,0.14,-0.6,1.05,12.55,0.14,231
GOLD,ANTM.JK,1,0.5,3,7,57.14,0.06,-0.19,1.04,8.68,0.06,232
GOLD,PSAB.JK,5,1.5,1,6,33.33,0.07,-1.05,1.03,10.56,0.07,233
GOLD,PSAB.JK,5,2.0,1,6,33.33,0.07,-1.05,1.03,10.56,0.07,234
GOLD,PSAB.JK,5,2.5,1,6,33.33,0.07,-1.05,1.03,10.56,0.07,235
GOLD,ANTM.JK,1,1.5,5,6,66.67,0.1,-1.9,1.03,14.75,0.1,236
GOLD,ANTM.JK,10,2.0,3,4,75.0,0.06,-1.05,1.02,12.57,0.06,237
GOLD,ANTM.JK,10,2.5,3,4,75.0,0.06,-1.05,1.02,12.57,0.06,238
GOLD,ANTM.JK,10,3.0,3,4,75.0,0.06,-1.05,1.02,12.57,0.06,239
GOLD,PSAB.JK,10,5.0,5,3,33.33,0.03,-0.24,1.01,4.58,0.03,240
GOLD,HRTA.JK,1,1.5,2,6,33.33,0.01,-0.48,1.01,6.38,0.01,241
GOLD,PSAB.JK,5,1.5,2,6,50.0,0.04,-1.57,1.01,13.4,0.04,242
GOLD,PSAB.JK,5,2.0,2,6,50.0,0.04,-1.57,1.01,13.4,0.04,243
GOLD,PSAB.JK,5,2.5,2,6,50.0,0.04,-1.57,1.01,13.4,0.04,244
GOLD,ANTM.JK,1,0.5,5,7,57.14,0.04,-2.23,1.01,14.75,0.04,245
GOLD,MDKA.JK,1,2.0,5,6,66.67,0.03,-2.56,1.01,18.65,0.03,246
GOLD,ANTM.JK,5,0.5,1,7,42.86,-0.01,-0.44,0.99,4.74,-0.01,247
GOLD,ANTM.JK,5,1.0,1,7,42.86,-0.01,-0.44,0.99,4.74,-0.01,248
GOLD,HRTA.JK,3,2.5,2,6,33.33,-0.06,-5.16,0.99,23.99,-0.06,249
GOLD,HRTA.JK,3,3.0,2,6,33.33,-0.06,-5.16,0.99,23.99,-0.06,250
GOLD,PSAB.JK,1,0.5,10,7,42.86,-0.07,-9.42,0.99,24.58,-0.07,251
GOLD,MDKA.JK,5,0.5,5,7,71.43,-0.16,-4.29,0.96,21.47,-0.16,252
GOLD,MDKA.JK,5,1.0,5,7,71.43,-0.16,-4.29,0.96,21.47,-0.16,253
GOLD,MDKA.JK,1,3.0,2,3,33.33,-0.08,-0.43,0.95,4.61,-0.08,254
GOLD,HRTA.JK,3,0.5,1,8,37.5,-0.09,-1.34,0.95,7.98,-0.09,255
GOLD,HRTA.JK,5,1.5,3,6,33.33,-0.25,-4.72,0.95,12.11,-0.25,256
GOLD,HRTA.JK,5,2.0,3,6,33.33,-0.25,-4.72,0.95,12.11,-0.25,257
GOLD,HRTA.JK,5,2.5,3,6,33.33,-0.25,-4.72,0.95,12.11,-0.25,258
GOLD,HRTA.JK,1,2.0,1,6,50.0,-0.07,-0.71,0.94,5.92,-0.07,259
GOLD,MDKA.JK,5,0.5,2,7,71.43,-0.15,-2.43,0.94,13.77,-0.15,260
GOLD,MDKA.JK,5,1.0,2,7,71.43,-0.15,-2.43,0.94,13.77,-0.15,261
GOLD,HRTA.JK,1,2.5,1,6,50.0,-0.14,-1.34,0.93,5.92,-0.14,262
GOLD,PSAB.JK,1,0.5,5,7,28.57,-0.33,-7.58,0.93,22.63,-0.33,263
GOLD,MDKA.JK,5,0.5,10,7,42.86,-0.44,-10.18,0.93,35.65,-0.44,264
GOLD,MDKA.JK,5,1.0,10,7,42.86,-0.44,-10.18,0.93,35.65,-0.44,265
GOLD,MDKA.JK,1,2.5,5,6,50.0,-0.29,-4.16,0.92,19.98,-0.29,266
GOLD,MDKA.JK,5,1.5,1,6,66.67,-0.3,-3.5,0.91,14.16,-0.3,267
GOLD,MDKA.JK,5,2.0,1,6,66.67,-0.3,-3.5,0.91,14.16,-0.3,268
GOLD,MDKA.JK,5,2.5,1,6,66.67,-0.3,-3.5,0.91,14.16,-0.3,269
